question_no,question,correct_option,correct_answer,option_a,option_b,option_c,option_d
246,Which of the following is a threat to the freedom of press in India?,D,Both (a) and (b).,"Liberal use of Unlawful Activities Prevention Act against Journalists refrains journalists from tracing, tracking and publishing investigative articles because they apprehend that they might be linked with criminals.",Use of Sedition laws against journalists under the guise that through their articles they are promoting hatred and exciting disaffection against the government.,Levy of GST on newspapers.,Both (a) and (b).
247,"The PRP Bill defines ""specified authority"" to mean a District Magistrate or Collector or such other officer as the State Government or, as the case may be, Union territory Administration may, by notification, specify. The PRP Bill is criticised by Editors Guild of India because:",C,The PRP Bill enables the specified authority to enter the premises of a periodical for inspection,The definition of specified authority is too wide and can include even officers below the level of Collector. The PRP Bill enables the specified authority to perform the functions of Press Registrar General.,"The PRP Bill confers various powers on the Press Registrar General including the power to register, deny registration, cancel the registration, etc.",The PRP Bill enables the specified authority to enter the premises of a periodical for inspection,All of the above.
248,"Freedom of press is not specifically guaranteed under the Constitution of India but is implied in Article 19(1)(a) i.e. Freedom of Speech and Expression. Therefore, freedom of press is part of fundamental rights.",B,"Fundamental rights are not absolute rights and reasonable restrictions can be imposed on the exercise of fundamental rights and therefore, laws such as PRP Bill can be enacted.","Freedom of press being a fundamental right, no law can be made for registration and denial of registration of newspapers.","Fundamental rights are not absolute rights and reasonable restrictions can be imposed on the exercise of fundamental rights and therefore, laws such as PRP Bill can be enacted.","Freedom of press being a fundamental right, journalists and press is exempt from the operation of general criminal law of the country.",None of the above.
249,PRP Bill denies the right to publish periodicals to a person who has been found to have committed a terrorist act and has been convicted by a competent Court in India. Which of the following is most appropriate reason?,C,The right to publish a periodical is denied because they may not be neutral in reporting and may incite violence and spread disaffection against the state being themselves involved in terrorist acts.,The right to publish a periodical is denied because criminals do not possess any fundamental rights.,The right to publish a periodical is denied because such a person is a threat to the society and nation.,The right to publish a periodical is denied because they may not be neutral in reporting and may incite violence and spread disaffection against the state being themselves involved in terrorist acts.,All of the above.
250,"Mr. Lal was suffering from a rare disease and the data relating of that was collected by the government. Suppose the DPDPA, 2023 provides exemptions for the government relating to data deemed ""necessary for research, archiving or statistical purposes"" if the personal data is not to be used to take any decision specific to a data principal and such processing is carried on in accordance with such standards as may be prescribed. Which of the following is most appropriate?",A,The personal data of Mr. Lal can be preserved by the government till the research on rare disease is complete.,The personal data of Mr. Lal can be preserved by the government till the research on rare disease is complete.,The data can only be used for taking any decision regarding Mr. Lal.,The personal data of Mr. Lal's health conditions and his personal data can be preserved by; the private hospital forever and used for research by them without his consent.,All of the above.
251,"Suppose the DPDPA, 2023 provided exemption for the processing of personal data for the purpose of ascertaining the financial position of any person who has defaulted in payment of amount due on loan taken from a nationalised bank. Mr. X Commits a default in repayment of EMI of loan taken from a nationalized bank.",C,The bank can process the data of Mr. X for the purpose of ascertaining the assets and liabilities of the defaulter.,The bank can demand access to and process the personal data of Mr. X relating to family history of ailments from which Mr. X or his family was suffering.,"The bank can process the personal data of Mr. X viz., the particulars of the family, wife, children, brothers etc.",The bank can process the data of Mr. X for the purpose of ascertaining the assets and liabilities of the defaulter.,All of the above.
252,"Suppose Mr. Y, a citizen of India, is working in an MNC in New Zealand since 2021. The MNC has obtained personal details of the employee for the purpose of recovering the amount of indemnity bond if Mr. Y left the job within three years of joining.",C,The DPDPA 2023 is not applicable since the data is held outside India.,"Mr. Y can file an application in India for protection of his digital personal data under the DPDPA if he leaves the job in September 2023, and returns to India.","Mr. Y, being a citizen of India, can claim protection against the MNC for misuse of his personal data even while serving in New Zealand.",The DPDPA 2023 is not applicable since the data is held outside India.,"The DPDPA 2023, is not applicable since the data has been obtained before the enactment of DPDPA."
253,"If personal data is defined as any data about an individual who is identifiable by or in relation to such data, which of the following shall be classified as the personal data?",D,All of the Above.,Name of the Person.,Full Residential Address.,Aadhar Number.,All of the Above.
254,"In which of the following cases, the access to personal data shall be granted and the person whose data is accessed and processed cannot claim personal data protection?",C,Both (A) and (B).,Mr. Z has committed many robberies and police wants to access his Aadhar details and fingerprint data for the purpose of tracing Mr. Z.,It is apprehended that a person identified as Mr. G would spread hatred among various communities which would lead to riots and Police intends to use the mobile number and other personal details of Mr. G for the purpose of preventing such crimes.,Both (A) and (B).,Neither (A) nor (B).
255,Which of the following is correct?,B,Personal data collected by the government can be used for whatever purpose.,Personal data collected by a health service provider can be sold to an insurance agency by the service provider without the consent of the concerned person.,Personal data collected by the government can be used for whatever purpose.,Personal data collected by the insurance company can be sold to mobile companies for mobile marketing without the consent of the concerned person.,All of the above.
256,"Ashima and Ashok got married to each other in a traditional Hindu ceremony in Kolkata, after which they both moved to the USA, where Ashok had a job. In the USA, they had a child, whom they named Gogol. Many years later, Ashima found that Ashok was already married to Sushma before their wedding in Kolkata. Ashok and Sushma also had a child from their marriage, Arpita, who was older than Gogol by 4 years. Ashok explained to Ashima that although he had no intention of cheating on her, he had to keep his marriage to Sushma a secret since his parents would have never agreed as Sushma belonged to a different caste. Ashima is shocked to learn that her marriage to Ashok is void as per Hindu marriage laws since Ashok was already married before their wedding. She is trying to explore possibilities so that Gogol doesn't lose his inheritance from his father's side of the family. Based on your reading of the passage, what do you think is the correct position with respect to Gogol's inheritance rights?",C,"Gogol would inherit his share from within Ashok's share of the full ancestral property without prejudice to the inheritance of other legal heirs, including Arpita.",Gogol could claim the entirety of Ashok's share of the ancestral property.,Gogol would inherit the entire ancestral property as the only son of Ashok.,"Gogol would inherit his share from within Ashok's share of the full ancestral property without prejudice to the inheritance of other legal heirs, including Arpita.",Only Sushma and Arpita are the rightful legal heirs of Ashok.
257,"In the above fact scenario, consider a property that was purchased by Ashok from his own earnings in the USA, thereby not making it part of ancestral property but instead falling in the category of self-acquired property. Upon Ashok's death, who would have inheritance rights over the said property?",C,"Sushma, Arpita, and Gogol.",Sushma and Ashima.,"Sushma, Ashima, Arpita, and Gogol, as they are all his rightful legal heirs.","Sushma, Arpita, and Gogol.",Sushma and Arpita.
258,"Based on your reading of the passage, how did the Hindu Marriage Act influence the outcome of the case on inheritance? Select one option from below:",C,The amended provisions of the Hindu Marriage Act grant legitimate status to children from void or voidable marriages and therefore this should also extend to the Hindu Succession Act.,The amended provisions of the Hindu Marriage Act grant legitimacy to children from voidable marriages and therefore this logic should be extended to children born of voidable and void marriages under the Hindu Succession Act.,The amended provisions of the Hindu Marriage Act give legitimacy to the second marriage and therefore this should also have an impact on the Hindu Succession Act.,The amended provisions of the Hindu Marriage Act grant legitimate status to children from void or voidable marriages and therefore this should also extend to the Hindu Succession Act.,The Hindu Marriage Act has no bearing on the case in question.
259,"12-year-old Kausalya was married off to 23-year-old Dashrath in her maternal home in Uttar Pradesh. She completed her education after her marriage and went on to get a job as a teacher at a government school. Dashrath's family, however, was opposed to her taking up a job outside the house and insisted that she should stay at home and look after her 2 sons, Ram and Lakshman. Kausalya, however, was very excited about starting her new job and sought advice from her younger sister, Vershini, who was training to be a lawyer. Vershini advises her that since she was married before she turned 18, her marriage was voidable and she could get it annulled. Kausalya, who was not very happy in her marriage, considers this option but is worried that her sons may lose their inheritance. Select the option that denotes correctly the status of Ram and Lakshman to inherit their father's ancestral property.",B,Both Ram and Lakshman can inherit their father's share of the ancestral property irrespective of the voidable status of their parent's marriage.,Kausalya's children cannot inherit Dashrath's ancestral property but can inherit his self-acquired property.,Both Ram and Lakshman can inherit their father's share of the ancestral property irrespective of the voidable status of their parent's marriage.,"If Kausalya decides to annul her voidable marriage, she and her sons would lose all rights of inheriting ancestral property from Dashrath.",Ram and Lakshman can only inherit ancestral property from their mother's side since she decided to annul the voidable marriage.
260,"Ajay is married to 2 women, Diya and Riya, and both don't know of each other. He was married to Diya first, when they were both around 23 years of age and studying together in college. They have no children. He later got married to Riya in a temple, and she had no idea about his first marriage with Diya. Ajay and Riya have 2 children, Raj and Rani. One day, Riya found out about Diya from one of Ajay's college friends. She wants to divorce Ajay but finds out that her marriage to him is void since he was already married at that time. At a loss, she goes to a lawyer to find out about the rights of her children to inherit property. Which is the most legally sound advice that the lawyer could give to her?",A,He would say that her children can still inherit property from Ajay thanks to the Supreme Court judgment.,He would say that her children can still inherit property from Ajay thanks to the Supreme Court judgment.,He would advise her to get her marriage registered so that they can inherit property.,He would advise her to ignore her marriage with Ajay since it is anyway a void marriage.,He would advise her to speak to Diya and sort it out with her so that her children can inherit property since she would have the final say.
261,"In the above scenario, Riya wants to know if there is any way in which the judgment can come to her aid while inheriting property owned by Ajay. What would the correct position of law?",A,"No, she cannot inherit property as the judgment merely talks about the rights of children from void marriages.","No, she cannot inherit property as the judgment merely talks about the rights of children from void marriages.","Yes, she should fight for her rights to inherit property.","Yes, Ajay would have to give her property since he cheated on her.","She would get an equal share of property as Diya, since they are both his wives who got married to him without knowing about each other."
262,"Srimati's first marriage was void due to being within the prohibited degree of relationship. Dhanalakshmi, who is the daughter of Srimati from her first marriage confronts her mother once she finds her identity, demanding her share in her mother's ancestral property. Srimati, however, subsequently married Dhrupad and has 2 daughters with him- Ira and Shira and is not interested in giving any property to Dhanalakshmi. Dhanalakshmi decides to assert her right in a court of law. How would Dhanalakshmi's share be determined?",B,Dhanalakshmi could demand a notional partition and get a share from Srimati's portion of her ancestral property.,Dhanalakshmi would not have any right in her mother's share of the property since the right of inheritance pertains only to father's share of property.,Dhanalakshmi could demand a notional partition and get a share from Srimati's portion of her ancestral property.,"Being a child from a void marriage, Dhanalakshmi has no rights of inheritance.",It is Srimati's decision as to whom she gives rights in her property.
263,What is the central theme of the passage?,B,The impact of words on human existence,The history of the human language,The impact of words on human existence,The importance of storytelling,The mystery of human cognition
264,"According to the passage, what does a 'word' symbolize?",D,An intangible concept,An inanimate object,An animate entity,A tangible entity,An intangible concept
265,How does the passage describe words' ability to affect emotions?,B,Words can absorb emotions and become emotion themselves.,Words can only evoke positive emotions.,Words can absorb emotions and become emotion themselves.,Words have no impact on emotions.,Words can be devoid of emotions.
266,"An engagement with words is the most captivating, enchanting, and sometimes daunting encounter with the world. Which of the following conclusions can be drawn from the above statement?""",D,Words can paint a picture of the world in all its different colours.,Words can be used to manipulate others.,The power of words should be used carefully.,Words can capture the atrocities of the world.,Words can paint a picture of the world in all its different colours.
267,"Which of the following strengthens the author's idea of words being like glow-worms momentarily dispelling the surrounding darkness""?""",A,Words help in understanding reality.,Words help in understanding reality.,Words illuminate the mind of the reader.,Words help in escaping reality.,Words cast darkness in the mind of the reader.
268,"In the context of the passage, what is the significance of the world within the word""?""",A,"It refers to the power of language to create inspiration, energy and faith.","It refers to the power of language to create inspiration, energy and faith.",It signifies the author's love for the global community.,It represents the mysteries hidden in language.,It describes the author's mission to explore different cultures.
269,Which of the following is the author most likely to agree with?,D,Government-led initiatives of AI regulation and development lead to efficient outcomes.,The best way to deal with the advancement of AI is to leave its regulation to market forces.,Government-driven control of AI is inefficient and shall promote red-tapism.,Private companies with their large capital and infrastructure design the most efficient AI governance models.,Government-led initiatives of AI regulation and development lead to efficient outcomes.
270,"Which of the following, if true, would most strengthen the main argument of the passage?",A,Governments that lead the initiative on regulating and responding to the advancement of AI tools benefit the most from them.,Governments that lead the initiative on regulating and responding to the advancement of AI tools benefit the most from them.,Governments that don't engage with generative AI and remain at its receiving end stay risk-averse with nothing to lose.,Governments that actively incentivise MNCs to participate in AI governance make the most out of the advancements in the field.,Governments that explore models of public-private partnership strike the right balance in regulating generative AI.
271,"If the information in the passage above is correct, which of the following must necessarily be true?",C,AI regulation is a collaborative effort involving all the institutions of the State.,AI regulation is the responsibility of the legislature alone.,AI regulation is the responsibility of courts and can't be addressed through standalone statutory rules.,AI regulation is a collaborative effort involving all the institutions of the State.,AI regulation is the domain of private industry.
272,"Based on the author's arguments, which of the following would result in weakening, rather than strengthening India's position at the forefront of generative AI?",C,Introducing generative models like Wu Dao which have demonstrated success in other jurisdictions.,Investing in indigenous AI chip hardware design and domestic generative models.,Exploring spinoff technological benefits with other scientific advancements like the Chandrayaan mission.,Introducing generative models like Wu Dao which have demonstrated success in other jurisdictions.,Locally developing technologies such as indigenous AI models.
273,"Based on the information provided, which of the following is a potential root cause of the decline in production efficiency?",B,Lack of motivation and job satisfaction among the workforce,The introduction of a new production system,Lack of motivation and job satisfaction among the workforce,Increased absenteeism,Breakdowns in machinery
274,What makes the introduction of the new production system a potential contributing factor to the decline in efficiency?,B,It requires specialized operators,The system is highly automated,It requires specialized operators,The machinery is prone to breakdowns,Competitors have adopted similar technologies
275,What is a critical difference between the company's situation and that of its competitors?,C,The company's workforce lacks motivation and job satisfaction.,Both the company and its competitors have introduced new production systems.,The competitors have experienced increased customer complaints.,The company's workforce lacks motivation and job satisfaction.,The company's machinery is prone to breakdowns.
276,How might the increased absenteeism affect production efficiency?,C,It could lead to delays in production.,It might lead to increased quality issues.,It might result in longer machinery breakdowns.,It could lead to delays in production.,It has no impact on production efficiency.
277,What could be a possible solution to address the decline in production efficiency?,B,Implement a motivation and job satisfaction program for the workforce.,Hire more specialized operators for the new system.,Implement a motivation and job satisfaction program for the workforce.,Upgrade the machinery to reduce breakdowns.,Purchase new machinery to replace the automated system.
278,"Based on the information provided, what is a potential consequence of increased customer complaints about product quality?",C,It may lead to a loss of customers and reputation damage.,It indicates that the company's competitors are also experiencing quality issues.,It suggests that the company's products are meeting customer expectations.,It may lead to a loss of customers and reputation damage.,It shows that the company's automated system is performing well.
279,"As per the author, which one of the following is not likely leading to suicide among the students?",A,Incorrect marketing strategies by the coaching institutes.,Incorrect marketing strategies by the coaching institutes.,Burdening of ambitions by one generation to another.,Creation of hostile environment by the coaching institutes.,Living in a surrounding with different background and culture.
280,Which of the following is not true regarding the education system as per the opinion of the author?,B,Merit of the students is not the determining factor.,It is primarily based on the merit of the students.,Merit of the students is not the determining factor.,Examination plays a pivotal role in the education system.,An individual's merit cannot be identified without examination.
281,Which of the following strengthens the argument regarding the 'idea of merit' as per the above-mentioned passage?,A,True merit is multifaceted and extends beyond performance in a single competitive examination.,True merit is multifaceted and extends beyond performance in a single competitive examination.,Pervasive inequalities can only be identified with the help of a single competitive examination.,True merit is not multifaceted and does not extend beyond performance in a single competitive examination.,The school education ensures the proper implementation of the idea of merit.
282,Which of the following is correct regarding the inequalities mentioned by the author?,D,There are existing inequalities which are enlarged by the competitive examinations.,There is no difference between the preparation of board and competitive examination.,Education system accommodates the inequalities.,Competitive examination leads to social equality.,There are existing inequalities which are enlarged by the competitive examinations.
283,Which of the following statements reflects the use of online platforms for education as per the author?,B,It encourages the students to prepare for examination.,It provides equal opportunity to all the students irrespective of caste or creed.,It encourages the students to prepare for examination.,It should be the only means to education.,It cannot be accessed by majority of the people due to technological impediments.
284,Which one of the following is not a challenge for quality education?,C,Availability of online resources.,Influence of social media.,Mental health of the students and parents.,Availability of online resources.,Lack of competitive atmosphere among the peers.
285,"If 45% of the electric cars in State 4 are air conditioned (AC) and remaining are non-AC, what is the number of non-AC cars?",C,220,380,240,220,180
286,Number of petrol cars in State 2 is how much percentage more than the number of diesel cars in State 1?,D,6.67%,4.67%,9.23%,3.33%,6.67%
287,What is the ratio of diesel cars in State 4 to electric cars in State 3?,A,7:3,7:3,3:7,7:4,4:7
288,Compute the percentage of total electric cars to total cars in all the States.,B,18.37%,19.37%,18.37%,18.73%,19.57%
289,What is the difference between number of petrol cars in State 3 and diesel cars in State 1?,D,550,350,400,500,550
290,What is the average number of diesel cars in all the States?,B,862.5,810,862.5,886,912.5
291,By what percentage the number of self-employed workers in rural areas is more than the number of self-employed workers in urban areas?,A,29.23,29.23,33.24,35.01,34.32
292,What is the ratio of urban and rural working population?,C,13:12,12:13,11:12,13:12,03:08
293,"If urban population of the region increased from 52% to 56% and percentage of self employed in urban region remains same, then number of self-employed people in urban areas are:",D,67200,66840,68640,62700,67200
294,What is the total number of regular salaried employees of the region?,C,92160,90216,91260,92160,96210
295,What is the percentage of regular salaried employees in rural areas corresponding to the number of casual wage workers in urban areas?,D,92.3%,72.3%,79.8%,88.7%,92.3%
296,"If 60% of the total working population of the region were self-employed in rural areas and 40% of total population were self-employed in urban areas, then what is the ratio of rural self-employed to urban self-employed?",B,3:2,2:3,3:2,13:18,18:13
